id,addr_city,addr_country,addr_housenumber,addr_postcode,addr_street,opening_hours,amenity,url,name,name_de,leisure,tourism,long,lat,building,wikipedia,source,osm_id
1,,,,,,,,,Strandbad Tegeler See,,water_park,,13.2450977,52.5776055,,,osm:way,16777112
2,Berlin,,155,13088,Berliner Allee,,,http://www.binbaden.com,Strandbad am Weißen See,,water_park,,13.4654829,52.5539318,,,osm:way,20130679
3,Berlin,DE,39,10827,Hauptstraße,"Mo 14:00-22:30; Tu-Fr 06:00-22:30; Sa,Su 09:00-22:30",,https://www.berlinerbaeder.de/baeder/stadtbad-schoeneberg/,Stadtbad Schöneberg - Hans Rosenthal,,water_park,,13.3509907,52.4847872,yes,,osm:way,23453588
4,,,,,,May-Aug: 09:00-21:00; Sep-Apr: 11:00-18:00,,http://www.strandbad-wendenschloss.de/,Seebad Wendenschloss,,water_park,,13.6002342,52.4152242,,,osm:way,26372294
5,Berlin,DE,39,12247,Leonorenstraße,"Mo 14:00-22:30; Tu-Fr 06:30-22:30; Sa,Su 09:00-22:30",,,Stadtbad Lankwitz,,water_park,,13.3434744,52.4419528,yes,,osm:way,27012751
6,,,,,,,,,Wasserskigebiet,,water_park,,13.2633241,52.5773882,,,osm:way,27469365
7,,,,,,,,,Sommerbad Lichterfelde,,water_park,,13.3132879,52.4332055,,,osm:way,27481060
8,,,,,,,,,Sommerbad Kreuzberg Prinzenbad,,water_park,,13.4026761,52.4975032,,,osm:way,30876782
9,,,,,,,,http://www.berlinerbaederbetriebe.de/126.html,Kinderbad Monbijou,,water_park,,13.3967264,52.5226744,,,osm:way,30876915
10,Berlin,DE,59H,10999,Wiener Straße,"Mo-Fr 08:00-22:00, PH 10:00-22:00, Sa,Su 09:00-22:00",,https://www.berlinerbaeder.de/baeder/wellenbad-am-spreewaldplatz/,Bad am Spreewaldplatz,,water_park,,13.4322178,52.4979877,yes,,osm:way,30909343
11,Berlin,DE,1,13357,Wiesenstraße,,,http://www.berlinerbaeder.de/119.html,Sommerbad Humboldthain,,water_park,,13.3824084,52.5456762,,,osm:way,33071226
12,,,,,,,,http://www.berlinerbaederbetriebe.de/120.html,Sommerbad Am Insulaner,,water_park,,13.3516397,52.4562358,,,osm:way,37674404
13,,,,,,,,http://www.berlinerbaeder.de/73.html,Schwimmhalle Kaulsdorf,,water_park,,13.5855174,52.5209605,yes,,osm:way,47281557
14,Berlin,DE,18,12099,Götzstraße,,,,Stadtbad Tempelhof,,water_park,,13.3895416,52.4638084,,,osm:way,48992630
15,,,,,,,,,Seebad-Heiligensee,,water_park,,13.2132949,52.6003159,,,osm:way,51832083
16,Berlin,DE,91-93,,Wolfshagener Straße,2018 Jul 02- 2018 Sep 02 Mo-Su 08:00-20:00,,https://www.berlinerbaeder.de/baeder/sommerbad-pankow/,Sommerbad Pankow,,water_park,,13.4136812,52.5759168,,,osm:way,99146928
17,,,,,,,,,,,water_park,,13.1559817,52.4648669,yes,,osm:way,122628480
18,Berlin,DE,160,,Columbiadamm,,,http://www.berlinerbaederbetriebe.de/116.html,Sommerbad Neukölln,,water_park,,13.4157327,52.4795499,,,osm:way,131391811
19,Berlin,DE,3,12043,Ganghoferstraße,,,http://www.berlinerbaederbetriebe.de/77.html,Stadtbad Neukölln,,water_park,,13.4398773,52.4791797,yes,de:Stadtbad Neukölln,osm:way,132238037
20,,,,,,,,http://www.berlinerbaederbetriebe.de/125.html,Platsch Kinderbad,,water_park,,13.5623739,52.5520166,,,osm:way,148002805
21,Berlin,,9,12527,Sportpromenade,,,https://www.berlinerbaeder.de/baeder/strandbad-gruenau/,Strandbad Grünau,,water_park,,13.6070638,52.4089821,,,osm:way,180438642
22,,,,,,,,,Kombibad Mariendorf,,water_park,,13.4032095,52.4207213,,,osm:way,367575185
23,,,,,,,,,,,water_park,,13.2462121,52.5772815,,,osm:way,368373675
24,,,,,,,,http://baeder.fez-berlin.de/badesee/,FEZ-Badesee,,water_park,,13.5490583,52.4636265,,,osm:way,372076075
25,,,,,,,,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339112.php,Strandbad Müggelsee,,water_park,,13.6722925,52.4455741,,,osm:way,420006962
26,,,,,,,,https://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339117.php,Badestelle Große Krampe,,water_park,,13.6524357,52.3899065,,,osm:way,443774249
27,,,,,,,,,Plansche Marzahn Ost,,water_park,,13.5770556,52.5492162,,,osm:way,500247727
28,,,,,,,,,Rollsportanlage,,sports_centre,,13.3601382,52.5317204,roof,,osm:way,4676159
29,Berlin,DE,14,14199,Forckenbeckstraße,,,http://www.berlinerbaeder.de/baeder/sommerbad-wilmersdorf,Sommerbad Wilmersdorf,,sports_centre,,13.3021304,52.4817869,,,osm:way,4755469
30,,,,,,,,,Grüngürtel,,sports_centre,,13.1938649,52.5518037,,,osm:way,5076131
31,,,,,,,,,Helmut-Schleusener-Stadion,,sports_centre,,13.1936034,52.5448282,,,osm:way,5076140
32,,,,,,,,,,,sports_centre,,13.3281439,52.5961779,,,osm:way,5105674
33,,,,,,,,,Wackerplatz,,sports_centre,,13.3096677,52.5755226,,,osm:way,7213563
34,Berlin,DE,26,10407,Paul-Heyse-Straße,,,https://www.berlinerbaeder.de/baeder/schwimm-und-sprunghalle-europasportpark-sse/,Schwimm- und Sprunghalle im Europa Sportpark Berlin (SSE),,sports_centre,,13.4526505,52.5291905,civic,de:Schwimm- und Sprunghalle im Europasportpark,osm:way,7997192
35,Berlin,DE,3,10409,Thomas-Mann-Straße,Mo-Sa 08:00-20:00,,http://www.berlinerbaeder.de/baeder/schwimmhalle-thomas-mann-strasse,Schwimmhalle Thomas-Mann-Straße,,sports_centre,,13.4431936,52.5431095,yes,,osm:way,7997204
36,Berlin,DE,7,14199,Fritz-Wildung-Straße,,,,Stadtbad Wilmersdorf II,,sports_centre,,13.3013583,52.4859654,yes,,osm:way,9769623
37,Berlin,DE,9,14199,Fritz-Wildung-Straße,,,http://www.horst-dohm-eisstadion.de,Horst-Dohm-Eisstadion,,sports_centre,,13.3007465,52.4843350,,,osm:way,9770708
38,,,,,,,,,Sportplatz Walter-Felsenstein-Straße,,sports_centre,,13.5539386,52.5532759,,,osm:way,9858246
39,,,,,,,,,Hubertussportplatz,,sports_centre,,13.2869373,52.4855972,,,osm:way,11502949
40,,,,,,,,,Schwimmhalle,,sports_centre,,13.4728845,52.5408630,yes,,osm:way,12520968
41,Berlin,DE,,13507,Namslaustraße,,,,Turnhalle,,sports_centre,,13.2861788,52.5782973,yes,,osm:way,13415540
42,,,,,,,,,Sporthalle,,sports_centre,,13.4927133,52.6322031,yes,,osm:way,13449172
43,Berlin,DE,41,13125,Wolfgang-Heinz-Straße,,,http://www.berlinerbaeder.de/79.html,Schwimmhalle Buch,,sports_centre,,13.4919086,52.6287451,yes,,osm:way,13454276
44,Berlin,DE,4,10713,Sigmaringer Straße,,,,Sporthalle Goethe Gymnasium,,sports_centre,,13.3197968,52.4883143,sports_centre,,osm:way,13782214
45,Berlin,DE,27-32,12351,Lipschitzallee,,,,Kombibad Gropiusstadt,,sports_centre,,13.4705267,52.4275458,,,osm:way,13845944
46,,,,,,,,,,,sports_centre,,13.2885143,52.5374408,,,osm:way,13868157
47,,,,,,,,,Sommerbad West-Staaken,,sports_centre,,13.1313812,52.5331808,,,osm:way,14460222
48,,,,,,,,,,,sports_centre,,13.4904011,52.6301884,,,osm:way,18508333
49,Berlin,DE,26,10365,Hagenstraße,,,,,,sports_centre,,13.5011826,52.5178092,sports_centre,,osm:way,18769784
50,Berlin,DE,200-204,13407,Roedernallee,,,http://www.berlinerbaeder.de/baeder/paracelsus-bad,Paracelsusbad,,sports_centre,,13.3468991,52.5751868,yes,,osm:way,19971538
51,,,,,,,,,BSC Kickers 1900 e.V.,,sports_centre,,13.3688755,52.4867431,,,osm:way,21845907
