id,name,street_name,street_number,zip_code,long,lat
1,Deutsches Theater / Kammerspiele,Schumannstraße,13,10117,13.382083300000001,52.5239167
2,Volksbühne,Rosa-Luxemburg-Platz,,10178,13.4123889,52.52725
3,Maxim Gorki Theater,Am Festungsgraben,2,10117,13.3956111,52.519
4,Berliner Ensemble,Bertolt-Brecht-Platz,1,10117,13.386416699999998,52.5220556
5,"Hebbel am Ufer (HAU 1, 2, 3)",Hallesches Ufer,32,10963,13.386194400000003,52.4990556
6,Schaubühne am Lehniner Platz,Kurfürstendamm,153,10709,13.302833300000001,52.498694400000005
7,Renaissance Theater,Knesebeckstraße,100,10623,13.324083300000002,52.510305599999995
8,Theater an der Parkaue,Parkaue,29,10367,13.477972199999998,52.5168056
9,Grips Theater,Altonaer Str.,22,10557,13.3424167,52.5184444
10,Theater Strahl,Martin-Luther-Straße,77,10825,13.345194400000002,52.4883333
11,Canstanza Macras,Klosterstraße,44,10179,13.411805599999997,52.517861100000005
12,Nico and the Navigators,Husemannstr.,31,10435,13.417583300000002,52.53972220000001
13,Rimini Protokoll,Tempelhofer Ufer,10,10963,13.3858611,52.497472200000004
14,Theater im Palais,Am Festungsgraben,1,10117,13.395666699999998,52.518527799999994
15,Sophiensæle,Sophienstraße,18,10178,13.4016111,52.5258611
16,Theaterdiscounter,Klosterstraße,44,10179,13.412166699999998,52.51777779999999
17,Theater '89,Torstraße,216,10115,13.390222199999998,52.5276389
18,Vaganten Bühne Gemeinnützige,Kantstraße,12A,10623,13.328833300000001,52.50575
19,Neuköllner Oper,Karl-Marx-Straße,131-133,12043,13.439472199999997,52.477555599999995
20,Kleines Theater am Südwestkorso GmbH,Südwestkorso,65,12161,13.3223611,52.473305599999996
21,Ballhaus Naunynstraße,Naunynstraße,27,10997,13.4213333,52.502
22,Friedrichstadt-Palast,Friedrichstraße,107,10117,13.3888611,52.5239167
23,Sasha Waltz & Guests,Sophienstraße,3,10178,13.401333300000001,52.525361100000005
24,Jüdisches Theater,Meinekestraße,24,10719,13.329305599999998,52.5021111
25,Bühnen am Kürfürstendamm,Kurfürstendamm,206,10719,13.323638899999999,52.5019444
26,Schlosspark Theater,Schloßstraße,48,12165,13.317972199999998,52.4546944
27,Deutsche Oper Berlin,Bismarckstraße,35,10627,13.308333300000001,52.512222200000004
28,Staatsoper Unter den Linden,Unter den Linden,7,10117,13.3946389,52.5169444
29,Komische Oper Berlin,Behrenstraße,55-57,10117,13.386888899999999,52.51597220000001
30,Staatsballett,Bismarckstraße,110,10625,13.317361100000001,52.5120556
31,Stiftung Berliner Philharmoniker,Herbert-von-Karajan-Straße,1,10785,13.369722199999998,52.5098056
32,Konzerthaus Berlin / Schauspielhaus am Gendarmenmarkt,Gendarmenmarkt,,10117,13.391777800000002,52.5136389
33,Rundfunk-Orchester und -Chöre GmbH,Charlottenstraße,56,10117,13.391083300000002,52.513361100000004
34,Literarisches Colloquium Berlin (LCB),Am Sandwerder,5,14109,13.1785,52.4227778
35,Literaturhaus Berlin,Fasanenstraße,23,10719,13.326805599999998,52.5021944
36,Literaturforum im Brecht-Haus,Chausseestraße,125,10115,13.3848889,52.528972200000005
37,literaturWERKstatt berlin,Knaackstraße,97,10435,13.414416699999999,52.5394444
38,LesArt - Berliner Zentrum für Kinder- und Jugendliteratur,Weinmeisterstraße,5,10178,13.405083300000001,52.52525
